iteration,best_score,best_thresholds,pop_min,pop_max,pop_mean,pop_std,time_ms,a,pop_size
14,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-609997.4778972986,487753.0901749849,21.468639373779297,1.65,100
15,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-619997.5628740415,485389.557001295,20.6906795501709,1.625,100
16,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-589997.3687940538,491836.46147168224,20.819425582885742,1.6,100
17,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-649997.7522747199,476972.66384170676,20.926713943481445,1.575,100
18,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-659997.8041984397,473711.8306179628,20.848512649536133,1.55,100
19,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-649997.750144878,476972.6667441934,20.251989364624023,1.525,100
20,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-609997.4996581235,487753.06296002015,20.846128463745117,1.5,100
21,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-629997.6288067629,482807.4022973096,14.505624771118164,1.475,100
22,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-509996.85224987654,499903.2013454675,27.17757225036621,1.45,100
23,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-559997.1569142174,496390.1532729748,21.18539810180664,1.425,100
24,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-579997.2891028656,493561.6928518949,21.082639694213867,1.4,100
25,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-529996.9671245152,499102.40918912756,30.23838996887207,1.375,100
26,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-539997.0530716442,498400.6246914469,26.470661163330078,1.35,100
27,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-629997.6255728867,482807.40651711053,21.699190139770508,1.325,100
28,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-509996.85760937625,499903.1958776829,23.94843101501465,1.3,100
29,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-529996.9830267746,499102.3923023142,23.11873435974121,1.275,100
30,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-569997.2335392484,495078.9369135085,21.939754486083984,1.25,100
31,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-739998.3201493473,438637.0779893102,20.514249801635742,1.225,100
32,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-629997.6437920771,482807.3827433227,20.453214645385742,1.2,100
33,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-579997.3061665711,493561.67279966944,20.074844360351562,1.175,100
34,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-569997.2504082386,495078.9174915872,20.566940307617188,1.15,100
35,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-569997.2290215864,495078.94211486523,24.38950538635254,1.125,100
36,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-509996.8444882573,499903.20926389884,17.30060577392578,1.1,100
37,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-519996.908968172,499603.05711980717,26.606082916259766,1.075,100
38,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-509996.84713992866,499903.2065586591,21.98195457458496,1.05,100
